Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:44:21,0.245,19.1551,0.5717,87.3638,380,3.8,0.0192,3,0,normal
0:44:22,0.2651,19.2295,0.5675,88.7976,380,3.8,0.0165,3,0,normal
0:44:23,0.2606,19.2616,0.5652,88.9152,377,3.77,0.0187,3,0,normal
0:44:24,0.2628,19.2735,0.542,88.1579,376,3.76,-0.0031,3,0,normal
0:44:25,0.2574,19.1207,0.5488,88.195,375,3.75,0.0405,3,0,normal
0:44:26,0.2496,19.2118,0.5676,88.9276,373,3.73,0.0397,3,0,normal
0:44:27,0.2665,19.2976,0.5762,88.1849,370,3.7,0.0283,3,0,normal
0:44:28,0.2493,19.3764,0.5658,88.8838,376,3.76,0.0047,3,0,normal
0:44:29,0.2634,19.4019,0.5948,88.1564,371,3.71,0.0458,3,0,normal
0:44:30,0.2591,19.2835,0.5952,88.4798,363,3.63,0.0323,3,0,normal
0:44:31,0.2537,19.1408,0.5905,88.524,358,3.58,0.0295,3,0,normal
0:44:32,0.2568,19.1823,0.5781,88.3743,361,3.61,0.0092,3,0,normal
0:44:33,0.2809,19.0769,0.5767,88.2776,358,3.58,0.0265,3,0,normal
0:44:34,0.2755,19.0447,0.576,89.2136,352,3.52,0.0245,3,0,normal
0:44:35,0.2665,19.1,0.56,89.2796,351,3.51,0.0072,3,0,normal
0:44:36,0.2621,19.077,0.5668,88.3947,353,3.53,0.0236,3,0,normal
0:44:37,0.2741,19.1549,0.5746,88.4903,349,3.49,0.0296,3,0,normal
0:44:38,0.2648,19.1801,0.5749,88.5729,352,3.52,0.0183,3,0,normal
0:44:39,0.2688,19.0962,0.5691,89.2319,352,3.52,0.0162,3,0,normal
0:44:40,0.2707,19.1216,0.5708,89.0036,350,3.5,0.0248,3,0,normal
0:44:41,0.2807,19.2602,0.5795,89.1374,348,3.48,0.0257,3,0,normal
0:44:42,0.2683,19.2252,0.5817,89.4562,349,3.49,0.0252,3,0,normal
