Speed,Heading,AgentCount,Acc,Label
1.5678,92.3173,1,0.0232,0
1.5446,91.7717,1,-0.0468,0
1.514,89.0129,3,0.0026,0
1.5084,91.2908,2,0.0017,0
1.489,91.4445,1,0.0021,0
1.4869,90.5497,1,0.0004,0
1.4865,88.2267,1,-0.0027,0
1.4696,89.8896,4,-0.0011,0
1.4644,88.8773,5,-0.0002,0
1.4521,90.6531,9,0.0033,0
1.4336,88.4509,6,-0.0011,0
1.4305,85.9636,2,-0.0045,0
1.4208,89.4937,11,-0.0034,0
1.4176,88.1976,1,0.1465,0
1.4125,89.4045,7,0.0014,0
1.4099,91.9247,3,0.0035,0
1.4018,89.0828,5,-0.0006,0
1.4016,89.1629,5,-0.0002,0
1.391,90.4042,16,-0.0005,0
1.3869,90.3669,13,-0.007,0
1.3762,92.6261,1,0,0
1.3638,86.4472,4,-0.0041,0
1.3595,90.417,17,-0.0034,0
1.347,89.2771,9,-0.0094,0
1.3413,90.9512,7,-0.0004,0
1.335,90.2283,8,-0.0015,0
1.3266,84.3241,6,-0.0012,0
1.3266,87.573,9,0.0009,0
1.3117,89.7843,19,-0.0126,0
1.2963,88.8521,21,-0.01,0
1.2898,89.9984,14,0.0024,0
1.2847,89.8837,12,-0.0027,0
1.2821,88.7524,20,-0.0074,0
1.2813,88.9709,11,-0.0198,0
1.2787,88.6682,6,-0.0023,0
1.2781,87.2699,10,-0.0145,0
1.2761,86.7991,5,-0.0052,0
1.2759,90.2454,7,0.0085,0
1.2707,90.5319,17,0.0077,0
1.2588,88.416,24,0.0003,0
1.2549,88.6906,23,0.0067,0
1.2546,90.2097,15,-0.0079,0
1.254,89.1907,18,0.0041,0
1.2534,88.7217,14,-0.0163,0
1.2522,90.3831,15,-0.0025,0
1.251,89.1687,18,-0.003,0
1.2483,89.5144,11,0.0017,0
1.2441,89.0159,17,0.0001,0
1.2426,89.5989,14,0,0
1.2402,89.5246,24,-0.0037,0
1.2355,89.88,22,0.0058,0
1.2349,89.7656,17,-0.01,0
1.2331,88.5649,15,-0.0135,0
1.2295,89.3962,21,0.004,0
1.2269,90.2337,30,0.0164,0
1.2255,89.4728,21,0.0013,0
1.2239,91.0745,26,0.0146,0
1.2233,90.1061,19,-0.0155,0
1.2216,89.4315,20,-0.0035,0
1.221,89.753,20,-0.0006,0
1.2148,90.7873,32,-0.0031,0
1.2147,89.1935,20,-0.0179,0
1.2091,89.5035,87,0.0093,0
1.2081,89.1649,47,0.0062,0
1.2078,91.2136,31,0.0037,0
1.2065,90.4206,27,-0.0084,0
1.2045,90.3313,31,0.0119,0
1.2042,89.4567,96,0.0248,0
1.1995,88.4394,47,0.008,0
1.1988,89.4808,90,0.0095,0
1.1983,89.9591,35,-0.0056,0
1.1981,89.6152,83,0.0014,0
1.1974,89.7137,118,0,0
1.1973,88.7247,45,0.0109,0
1.197,89.4787,96,0.0046,0
1.1969,90.0232,117,0.0122,0
1.1966,88.7087,115,0.0168,0
1.1965,89.5432,96,0.0038,0
1.1964,89.1388,114,0.004,0
1.1961,89.7826,79,0.0035,0
1.1961,89.1219,82,0.0052,0
1.1955,89.2455,87,0.0044,0
1.1951,89.7501,94,0.0029,0
1.1946,88.916,91,0.0041,0
1.1945,88.4672,46,0.0104,0
1.1944,89.2914,133,0.0196,0
1.1941,89.1954,91,-0.0008,0
1.1938,88.4375,94,-0.0026,0
1.1937,91.7276,32,-0.0036,0
1.1935,89.6891,92,0.0051,0
1.1934,89.4729,115,0.0229,0
1.1926,89.4433,86,0.0026,0
1.1923,89.3969,98,0.0102,0
1.1922,88.9544,92,0.0014,0
1.1922,89.4632,97,0.0031,0
1.1921,88.6541,81,0.0006,0
1.192,88.8591,87,0.0113,0
1.1919,88.7454,86,0.0112,0
1.1916,89.6288,48,0.0147,0
1.1915,88.9147,79,0.0226,0
1.1914,89.6733,80,0.0117,0
1.1911,88.2671,24,-0.0039,0
1.1908,90.5256,29,0.0212,0
1.1905,90.1224,81,0.0003,0
1.1904,90.215,80,0.0025,0
1.1903,91.8267,34,-0.0027,0
1.1898,89.2514,95,0.0059,0
1.1897,88.9825,96,0.0001,0
1.1891,90.0587,98,0.0108,0
1.189,90.0111,93,0.0064,0
1.189,89.3673,88,0.0124,0
1.1889,89.7339,25,-0.0041,0
1.1889,89.1205,82,0.0024,0
1.1889,88.1473,75,0.0135,0
1.1887,89.549,79,0.011,0
1.1886,88.6157,88,0.0067,0
1.1883,89.0425,84,0.0137,0
1.1882,89.2741,86,0.0012,0
1.1882,88.8146,75,0.0046,0
1.1882,89.5961,89,0.0052,0
1.188,88.7349,76,0.0174,0
1.1879,89.0631,96,0.004,0
1.1878,89.6698,116,0.0093,0
1.1873,90.1459,78,-0.0035,0
1.1873,89.1722,80,0.0096,0
1.1872,88.5962,81,0.0095,0
1.1869,89.8302,34,0.005,0
1.1869,88.7885,87,0.0067,0
1.1865,88.9013,45,-0.0019,0
1.1862,89.0445,111,0.0008,0
1.1862,89.0122,111,0.0148,0
1.1861,90.1014,116,0.0027,0
1.186,88.9763,115,0.0016,0
1.1859,89.4984,92,0.0094,0
1.1859,89.6664,112,0.0215,0
1.1858,88.4105,37,0.0142,0
1.1857,89.2813,114,0.0156,0
1.1855,88.9648,131,0.0026,0
1.1853,89.8635,116,0.0002,0
1.1853,89.1066,112,0.0006,0
1.1852,89.0413,113,0.0063,0
1.1852,89.9327,116,0.0141,0
1.185,89.008,76,0.0007,0
1.185,88.9006,88,0.0157,0
1.1848,88.3659,96,-0.008,0
1.1848,88.7792,95,0.0163,0
1.1847,87.7296,52,0.0111,0
1.1846,88.6415,77,0.0335,0
1.1845,88.6132,88,0,0
1.1845,88.9866,87,0.0006,0
1.1845,89.2972,113,0.0124,0
1.1843,90.1325,81,-0.0007,0
1.1841,89.435,34,-0.0132,0
1.184,89.4461,113,0.0029,0
1.1839,88.8113,81,0.0051,0
1.1838,88.4845,77,0.0049,0
1.1837,89.9885,115,0.0018,0
1.1836,89.2847,87,-0.0006,0
1.1833,89.7663,82,0.007,0
1.1833,89.1495,113,0.0185,0
1.1827,88.5824,85,0.0031,0
1.1827,89.1079,82,0.0145,0
1.1826,88.6198,88,-0.0031,0
1.1826,88.8854,108,0.0081,0
1.1824,89.3513,114,-0.001,0
1.1823,88.0166,75,-0.0001,0
1.1823,89.4846,114,0.0063,0
1.1823,88.7074,82,0.0172,0
1.1821,89.7128,79,0.0088,0
1.182,89.5862,80,-0.0071,0
1.182,88.8254,88,0.0058,0
1.182,89.0874,94,0.0107,0
1.182,90.1456,84,0.0186,0
1.1819,88.8372,115,0.0091,0
1.1817,88.955,29,-0.0166,0
1.1816,88.4746,80,0.0113,0
1.1815,90.0525,97,0.0072,0
1.1815,89.4081,89,0.0078,0
1.1812,89.7632,116,0.0106,0
1.1811,89.4569,113,-0.0032,0
1.1811,88.545,79,0.0077,0
1.1809,89.0378,112,0.0018,0
1.1808,88.7787,108,0.0089,0
1.1807,89.5985,109,0.011,0
1.1806,88.579,113,0.0037,0
1.1805,88.6398,84,0.0069,0
1.1804,88.6207,99,0.0138,0
1.1803,88.6369,116,-0.0076,0
1.1803,89.8002,108,0,0
1.18,88.5182,86,0.001,0
